,comment,download,follow,name,num_score,score,tags,volume
3216,18.0,6789.0,137.0,分贝测试仪,3.0,3.7,[],5.4
3217,24.0,6795.0,70.0,热门话题,50.0,3.2,['新闻'],7.47
3218,70.0,6808.0,309.0,ScreenWake屏幕常亮,19.0,4.4,"['快速设置', '屏幕常亮', '牛轧糖', '瓷贴', '通知栏工具']",0.498525390625
3219,146.0,6823.0,203.0,DOV-全新真朋友趣味社交,32.0,3.0,"['短视频', '社交', '腾讯']",75.31
3220,31.0,6712.0,640.0,书入法,23.0,4.2,"['社区', '读书', '书摘', '书评', '笔记']",6.18
3221,61.0,6720.0,131.0,WeSecure,242.0,1.8,"['安全', '腾讯', '保护', '扫描']",5.45
3222,18.0,6725.0,68.0,翻篇儿,16.0,3.6,"['文章', '阅读', '集合']",8.43
3223,53.0,6738.0,60.0,天天护眼,143.0,2.1,"['护眼', '眼保健']",5.0
3224,27.0,6752.0,232.0,托福单词,33.0,4.5,"['外语', '单词']",60.65
3225,114.0,6753.0,1673.0,Mix Music,46.0,4.7,[],4.73
3226,34.0,6756.0,261.0,PYRO音乐,19.0,4.2,"['电子音乐', '电音', 'DJ', '混音']",40.65
3227,17.0,6761.0,211.0,看鉴微视频,15.0,3.7,"['历史', '人文']",18.1
3228,75.0,6704.0,235.0,激光桌面:Laser Launcher,204.0,2.6,"['启动器', '冻结']",7.03
3229,25.0,6706.0,402.0,字里行间,17.0,3.8,"['资讯', '阅读', '写作', '创作', '模板']",6.97
3230,30.0,6632.0,15.0,GO浏览器,15.0,3.4,"['浏览器', 'wap上网']",1.38
3231,159.0,6636.0,735.0,时间戳日记,122.0,4.8,[],4.0
3232,77.0,6646.0,490.0,Andream记事,52.0,4.6,"['记事本', '便签']",0.3537890625
3233,26.0,6650.0,31.0,去哪儿火车票,18.0,3.7,"['出行', '火车票', '订票']",24.74
3234,27.0,6657.0,51.0,阿里邮箱,15.0,3.3,"['邮箱', '企业', '阿里']",13.64
3235,49.0,6674.0,462.0,看山,17.0,3.9,"['创作', '阅读', '文艺', '社区', '故事']",33.24
3236,88.0,6676.0,771.0,Imit For Klwp,19.0,4.5,[],9.9
3237,52.0,6681.0,1182.0,浅风,24.0,4.7,"['主题', '配色']",0.32521484375
3238,22.0,6690.0,117.0,好看锁屏杂志,21.0,4.1,"['新闻', '锁屏', '消息']",7.62
3239,11.0,6692.0,137.0,超多VR,4.0,3.9,"['VR视频', 'VR游戏']",42.19
3240,116.0,6570.0,562.0,阻止关闭,16.0,4.4,['xposed'],0.05810546875
3241,96.0,6572.0,144.0,s8-索尼xperia主题,9.0,4.3,['xperia主题'],1.37
3242,93.0,6573.0,451.0,终极加速,28.0,4.3,"['进程', '管理', '加速', '优化', '悬浮窗']",0.12130859375
3243,30.0,6579.0,180.0,AR相机,17.0,3.8,"['AR', '拍照', '摄影']",61.3
3244,58.0,6581.0,436.0,一隅,30.0,4.4,[],9.41
3245,21.0,6607.0,58.0,大家车言论,7.0,3.9,"['汽车论坛', 'YYP', '颜宇鹏', '新车评']",13.69
3246,52.0,6610.0,87.0,豹来电,10.0,4.1,[],14.53
3247,16.0,6615.0,35.0,科沃斯机器人,3.0,4.2,['智能家居'],42.41
3248,18.0,6620.0,222.0,五悬浮浏览器,8.0,4.0,['浏览器'],1.82
3249,52.0,6547.0,408.0,快捷支付,11.0,4.5,[],1.43
3250,35.0,6497.0,205.0,室内温度计,15.0,4.4,[],3.56
3251,111.0,6499.0,1799.0,搜谱,21.0,4.5,['曲谱'],7.42
3252,23.0,6502.0,434.0,qq助手,6.0,3.9,"['垃圾清理', '卸载管理']",2.13
3253,33.0,6508.0,149.0,AOSP-Xperia主题,15.0,4.1,"['Xperia主题', '索尼']",3.92
3254,49.0,6524.0,392.0,坚果云扫描,16.0,4.3,[],26.58
3255,14.0,6526.0,34.0,洋葱圈,7.0,4.0,"['社区', '体育']",23.64
3256,20.0,6530.0,32.0,小特,4.0,4.3,['新能源'],26.86
3257,81.0,6531.0,769.0,光阴似箭,54.0,4.5,"['时间管理', '手机锁定', '自律']",3.24
3258,19.0,6546.0,288.0,Office遥控器:Office Remote,13.0,4.0,"['Office', '微软', '办公', '控制', '遥控']",7.66
3259,42.0,6497.0,78.0,高考好志愿,30.0,3.2,"['高考', '志愿', '填报']",4.71
