,_id,comment,download,follow,name,num_score,score,tags,volume
126,5c26c70fb031602c92eaa034,971,124万,1241,UC Browser国际版,415,3.4,['浏览器'],18.33M
127,5c26c710b031602c92eaa035,2674,126万,1677,共享单车,502,2.5,"['公共自行车', '共享单车', '单车', '城市自行车']",39.57M
128,5c26c712b031602c92eaa036,2321,127万,3809,IT之家,1340,3.4,"['新闻', '中关村在线', '太平洋电脑', '知乎日报', '威锋网', '今日头条', '头条', '36氪', '手机', '科技', '极客', '虎嗅', '数字尾巴', 'zaker', 'zealer', '果壳', '畅读', '网易新闻', '腾讯新闻', '快报', '搜狐', '新浪', '好奇心日报']",19.66M
129,5c26c714b031602c92eaa037,734,120万,1436,随手记理财记账,500,3.8,"['投资', '股票', '理财', '金蝶', '记账']",26.49M
130,5c26c715b031602c92eaa038,710,113万,1249,招商银行,256,3.5,"['银行', '招行']",68.47M
131,5c26c717b031602c92eaa039,224,114万,279,凤凰新闻,91,3.0,"['新闻', '凤凰']",24.92M
132,5c26c718b031602c92eaa03a,451,114万,424,糗事百科,230,2.8,"['笑话', '段子']",47.64M
133,5c26c719b031602c92eaa03b,2993,114万,2792,360卫士极客版,2265,3.5,['安全防护'],7.64M
134,5c26c71ab031602c92eaa03c,369,115万,859,去哪儿旅行-酒店.火车,308,2.8,"['旅游', '出行', '机票', '酒店', '旅行交通', '装机必备']",74.14M
135,5c26c71bb031602c92eaa03d,4877,119万,1.1万,阅读,1769,4.7,[],6.54M
136,5c26c71cb031602c92eaa03e,1083,119万,2420,喜马拉雅-听有声小说新闻音乐相声,787,3.3,"['音乐电台', '有声小说', '听书', '电台', '相声', '音乐']",41.64M
137,5c26c71eb031602c92eaa03f,583,119万,2684,WiFi万能钥匙国际版,1020,3.3,"['wifi', 'wifi共享', 'wifi热点']",5.74M
138,5c26c720b031602c92eaa040,373,112万,1151,同花顺手机炒股股票软件,433,4.6,"['股票', '同花顺', '证券', '券商']",49.17M
139,5c26c722b031602c92eaa041,1012,113万,1531,京东金融,321,2.9,"['理财', '财付通', '余额宝']",59.74M
140,5c26c723b031602c92eaa042,903,108万,2352,ZAKER（新闻阅读）,833,3.7,"['阅读', 'rss', '新闻', '聚合']",23.54M
